marka,model,year,fuel,price,currency,ad_link
Ford,F150,2010 ,Gasoline,79000,PLN,https://www.otomoto.pl/oferta/ford-f150-king-ranch-5-4-v8-triton-320km-4x4-full-opcja-lpg-zarejestrowany-ID6DV34a.html#178c806280
Fiat,Tipo,2018 ,Gasoline,42500,PLN,https://www.otomoto.pl/oferta/fiat-tipo-fiat-tipo-ID6DV348.html#178c806280
Alfa-Romeo,Romeo,2003 ,Gasoline,4900,PLN,https://www.otomoto.pl/oferta/alfa-romeo-147-1-6-16v-ts-98-000-km-skorzana-tapicerka-ID6DV346.html#178c806280
Suzuki,SX4,2012 ,Gasoline,29900,PLN,https://www.otomoto.pl/oferta/suzuki-sx4-z-salonuserwisnaviprzebieg-wpisuje-na-fakturzeorg-lakier1wlascic-ID6DV345.html#178c806280
Opel,Zafira,2013 ,Diesel,33900,PLN,https://www.otomoto.pl/oferta/opel-zafira-1-6-cdti-136-km-pelen-servis-ID6DV344.html#178c806280
Audi,A3,2006 ,Diesel,15980,PLN,https://www.otomoto.pl/oferta/audi-a3-audi-a3-2-0-tdi-170ps-s-line-wyposazenie-ID6DV343.html#178c806280
Audi,A6,2012 ,Diesel,81999,PLN,https://www.otomoto.pl/oferta/audi-a6-a6-ollroad-qattro-full-opcja-ID6DV33Y.html#178c806280
Toyota,Verso,2012 ,Diesel,35900,PLN,https://www.otomoto.pl/oferta/toyota-verso-full-opcja-salon-przebieg-wpisuje-na-fakturze-1-wl-oryginal-lakier-ID6DV33V.html#178c806280
Jeep,Grand,2004 ,Gasoline,25900,PLN,https://www.otomoto.pl/oferta/jeep-grand-cherokee-4-7b-lpg-258km-4x4-overland-skora-klimatronik-navi-ID6DV33W.html#178c806280
Ford,Mondeo,2011 ,Gasoline,35000,PLN,https://www.otomoto.pl/oferta/ford-mondeo-ID6DV33S.html#178c806280
Volkswagen,Passat,2006 ,Gasoline,17900,PLN,https://www.otomoto.pl/oferta/volkswagen-passat-passat-b6-1-6-mpi-benzyna-ID6DV33Q.html#178c806280
Renault,Koleos,2011 ,Diesel,29900,PLN,https://www.otomoto.pl/oferta/renault-koleos-2-0-dci-150ps-4x4-bose-panorama-dvd-gry-video-skora-zarejpl-122ooo-km-ID6DV33P.html#178c806280
Audi,A6,2010 ,Diesel,44900,PLN,https://www.otomoto.pl/oferta/audi-a6-ID6DV33M.html#178c806280
Volkswagen,Touran,2006 ,Diesel,16800,PLN,https://www.otomoto.pl/oferta/volkswagen-touran-vw-touran-lift-1-9tdi-105-km-bezwypadkowe-zadbane-ID6DV33L.html#178c806280
BMW,Seria,2013 ,Gasoline,68000,PLN,https://www.otomoto.pl/oferta/bmw-seria-3-piekna-czerwona-sport-line-bogate-opcja-bezawaryjna-ID6DV33I.html#178c806280
Seat,Leon,2021 ,Gasoline,9900,PLN,https://www.otomoto.pl/oferta/seat-leon-niezalezny-doradca-leasing-ktory-konczysz-kiedy-chcesz-promo-od-0-ID6DV33D.html#178c806280
Peugeot,407,2005 ,Gasoline,18000,PLN,https://www.otomoto.pl/oferta/peugeot-407-407sw-2-0-16v-ID6DV33C.html#178c806280
Seat,Ibiza,2009 ,Gasoline,72900,PLN,https://www.otomoto.pl/oferta/seat-ibiza-tempomat-grzane-fotele-oryg-przebieg-klima-ew-zamiana-na-busa-ID6DV33B.html#178c806280
Kia,Sportage,2017 ,Diesel,23900,PLN,https://www.otomoto.pl/oferta/kia-sportage-ID6DV33v.html#178c806280
Volkswagen,Golf,2009 ,Gasoline,23950,PLN,https://www.otomoto.pl/oferta/volkswagen-golf-1-6benz-102km-klimka-oplacony-import-niemcy-ID6DV33w.html#178c806280
Volkswagen,Touran,2007 ,Diesel,18500,PLN,https://www.otomoto.pl/oferta/volkswagen-touran-1-9tdi-105km-lift-parktroniki-klima-grzane-fotele-z-niemiec-oplacony-ID6DV33r.html#e1fa481f46
Jeep,Grand,2004 ,Gasoline,44000,PLN,https://www.otomoto.pl/oferta/jeep-grand-cherokee-4-7b-223km-limitedstan-kolekcjonerski-zamiana-na-busa-osobowego-ID6DV33p.html#e1fa481f46
Toyota,RAV4,2005 ,Diesel,14500,PLN,https://www.otomoto.pl/oferta/toyota-rav4-toyota-rav4-2005-4x4-d4d-ID6DV33n.html#e1fa481f46
Kia,Venga,2010 ,Diesel,23300,PLN,https://www.otomoto.pl/oferta/kia-venga-bogata-wersja-klimatronik-pdc-alu-doinwestowana-do-jazdy-ID6DV33m.html#e1fa481f46
Seat,Ibiza,2009 ,Gasoline,19900,PLN,https://www.otomoto.pl/oferta/seat-ibiza-seat-ibiza-sc-reference-1-2-ID6DV33l.html#e1fa481f46
Volkswagen,Passat,2008 ,Diesel,11900,PLN,https://www.otomoto.pl/oferta/volkswagen-passat-sprzedam-passat-b6-kombi-ID6DV33k.html#e1fa481f46
BMW,Seria,2007 ,Diesel,19500,PLN,https://www.otomoto.pl/oferta/bmw-seria-3-bmw-seria-3-320d-163km-190km-ID6DV33j.html#e1fa481f46
Ford,Mondeo,2015 ,Diesel,53900,PLN,https://www.otomoto.pl/oferta/ford-mondeo-rok-gwarancji-get-help-podgrzewane-fotele-przod-tyl-kierownica-panoram-ID6DV33g.html#e1fa481f46
Alfa-Romeo,Romeo,2019 ,Gasoline,79900,PLN,https://www.otomoto.pl/oferta/alfa-romeo-stelvio-2-0-280-km-przebieg-16tys-krajowy-polski-salon-bogata-wersja-model2020-ID6DV33f.html#e1fa481f46
Mitsubishi,Outlander,2011 ,Gasoline,35000,PLN,https://www.otomoto.pl/oferta/mitsubishi-outlander-mitsubushi-outlander-ii-benzyna-2-0-147km-ID6DV33d.html#e1fa481f46
Opel,Astra,2005 ,Gasoline,11900,PLN,https://www.otomoto.pl/oferta/opel-astra-opel-astra-1-6-enjoy-ID6DV33c.html#e1fa481f46
Mercedes-Benz,Klasa,2005 ,Gasoline,9900,PLN,https://www.otomoto.pl/oferta/mercedes-benz-klasa-a-mercedes-benz-a-klasse-a-150-classic-ID6DV33b.html#e1fa481f46
Honda,Jazz,2007 ,Gasoline,10900,PLN,https://www.otomoto.pl/oferta/honda-jazz-honda-jazz-1-2-dsi-cool-ID6DV33a.html#e1fa481f46
