marka,model,year,fuel,country,place,price,currency,photo_link,ad_link
Toyota,Yaris,2019,Electric/Gasoline,FR,75005 Paris,17990,EUR,https://prod.pictures.autoscout24.net/listing-images/23ad824e-ff2b-4084-b051-0bc78acc892e_35418189-0c51-43c7-93c7-2e543929c240.jpg/420x315.jpg,https://www.autoscout24.com/offers/toyota-yaris-100h-collection-5p-my19-electric-gasoline-c04be302-8e81-4043-b15d-20739cc24ef6
Toyota,Aygo,2020,Gasoline,FR,75005 Paris,10690,EUR,https://prod.pictures.autoscout24.net/listing-images/eb2208c9-8e33-48d8-a80b-e4dfd1b6565e_e8381e16-47ea-4160-8775-3815e2e97a15.jpg/420x315.jpg,https://www.autoscout24.com/offers/toyota-aygo-1-0-vvt-i-72ch-x-play-x-app-5p-mc18-gasoline-grey-23ad824e-ff2b-4084-b051-0bc78acc892e
Toyota,Aygo,2018,Gasoline,DE,64569 Nauheim,9990,EUR,https://prod.pictures.autoscout24.net/listing-images/449f4c30-bca0-4c2f-924f-039e2d564aeb_559f4f0e-5aa0-4c89-91af-fa9700dc7282.jpg/420x315.jpg,https://www.autoscout24.com/offers/toyota-aygo-1-0-vvt-i-69ch-x-play-5p-gasoline-grey-eb2208c9-8e33-48d8-a80b-e4dfd1b6565e
Toyota,Aygo,2018,Gasoline,AT,1100 Wien,9990,EUR,https://prod.pictures.autoscout24.net/listing-images/d36d5807-0c93-4063-9cd5-399a9b9a3739_70c6790d-bd82-49f0-8701-ec15d81c6cd5.jpg/420x315.jpg,https://www.autoscout24.com/offers/toyota-aygo-1-0-vvt-i-69ch-x-play-5p-gasoline-grey-449f4c30-bca0-4c2f-924f-039e2d564aeb
Nissan,X-Trail,2009,Diesel,AT,7111 Parndorf,6600,EUR,https://prod.pictures.autoscout24.net/listing-images/b52dafb8-74ab-4204-835b-786bb6a522bc_94df5758-0054-4469-a791-ef4c5bd5d81a.jpg/420x315.jpg,https://www.autoscout24.com/offers/nissan-x-trail-se-4x4-t31-diesel-grey-b52dafb8-74ab-4204-835b-786bb6a522bc
Nissan,Qashqai,2015,Diesel,ES,46190 RIBARROJA DEL TURIA,15500,EUR,https://prod.pictures.autoscout24.net/listing-images/6ba248bc-4415-4ff5-92ef-865d11338f7a_47675e7b-6307-4c2c-b647-492ed0236c3d.jpg/420x315.jpg,https://www.autoscout24.com/offers/nissan-qashqai-1-6dci-n-connecta-4x2-diesel-silver-6ba248bc-4415-4ff5-92ef-865d11338f7a
Nissan,Qashqai,2019,Diesel,FR,59223 Roncq,20990,EUR,https://prod.pictures.autoscout24.net/listing-images/2ae9e699-7407-4af8-8fb3-c2c61a69fa14_581f8c59-351f-4fb1-a9c7-79379e698b82.jpg/420x315.jpg,https://www.autoscout24.com/offers/nissan-qashqai-1-5-dci-115ch-n-connecta-euro6d-t-diesel-black-2ae9e699-7407-4af8-8fb3-c2c61a69fa14
Nissan,Navara,2006,Diesel,DE,65428 Rüsselsheim am Main,10600,EUR,https://prod.pictures.autoscout24.net/listing-images/7b31a7c4-276b-7478-e053-0100007f24be_714286d8-38be-416c-a855-44ac3061c0e6.jpg/420x315.jpg,https://www.autoscout24.com/offers/nissan-navara-2-5-dci-4-porte-double-cab-se-diesel-grey-7b31a7c4-276b-7478-e053-0100007f24be
Nissan,Patrol,2001,Diesel,FR,77144 MONTEVRAIN,8500,EUR,https://prod.pictures.autoscout24.net/listing-images/9ee9dba5-5497-43fd-b543-4443d117e492_36696ad2-8d12-4adf-aa9e-9927bb580ef3.jpg/420x315.jpg,https://www.autoscout24.com/offers/nissan-patrol-gr-3-0-td-di-3-porte-anniversary-diesel-blue-9ee9dba5-5497-43fd-b543-4443d117e492
Nissan,Navara,2010,Diesel,NL,1446 VR PURMEREND,13900,EUR,https://prod.pictures.autoscout24.net/listing-images/92fba6c4-6079-4263-e053-0100007f7b82_55834271-987a-4c9a-9291-5e5272ade9c6.jpg/420x315.jpg,https://www.autoscout24.com/offers/nissan-navara-se-4x4-diesel-black-f142b26e-edcb-446c-8d8e-0bc0812cdec1
Nissan,NV200,2013,Diesel,BE,1602 Vlezenbeek,5250,EUR,https://prod.pictures.autoscout24.net/listing-images/92fba6c4-5f79-4263-e053-0100007f7b82_966b5e7e-b6e2-45d9-aad9-638324b89182.jpg/420x315.jpg,https://www.autoscout24.com/offers/nissan-nv200-1-5-dci-acenta-diesel-silver-92fba6c4-6079-4263-e053-0100007f7b82
Nissan,X-Trail,2018,Diesel,FR,67460 SOUFFELWEYERSHEIM,20000,EUR,https://prod.pictures.autoscout24.net/listing-images/87dda6c4-c5a7-095a-e053-0100007f20b9_e1274141-5ed2-4603-9688-869edb366a40.jpg/420x315.jpg,https://www.autoscout24.com/offers/nissan-x-trail-1-6-dci-2wd-n-connecta-diesel-white-92fba6c4-5f79-4263-e053-0100007f7b82
Nissan,Qashqai,2017,Diesel,ES,17469 VILAMALLA,17000,EUR,https://prod.pictures.autoscout24.net/listing-images/e61ba6c4-4866-df12-e053-0100007fd541_30278f5f-0dba-4580-b491-5ac03cdecdc9.jpg/420x315.jpg,https://www.autoscout24.com/offers/nissan-qashqai-1-6-dci-2wd-tekna-xtronic-diesel-grey-e61ba6c4-4866-df12-e053-0100007fd541
Nissan,NP300,2015,Diesel,NL,8071 DA NUNSPEET,17500,EUR,https://prod.pictures.autoscout24.net/listing-images/1aae5965-3cce-41ac-9f99-2dbf3cc01de5_5da67100-50ab-4244-b6a7-b60633f6dee6.jpg/420x315.jpg,https://www.autoscout24.com/offers/nissan-np300-diesel-white-bbe3a5c4-50a5-ae7a-e053-0100007f45de
Nissan,Qashqai,2017,Diesel,DE,68766 Hockenheim,13490,EUR,https://prod.pictures.autoscout24.net/listing-images/37daa5c4-d27c-a579-e053-0100007f4090_fb71718f-8091-4d0c-883c-b5f8338cca17.jpg/420x315.jpg,https://www.autoscout24.com/offers/nissan-qashqai-1-6dci-tekna-4x4-i-diesel-grey-1aae5965-3cce-41ac-9f99-2dbf3cc01de5
Nissan,Note,2015,Diesel,BE,1700 Dilbeek,7900,EUR,https://prod.pictures.autoscout24.net/listing-images/b57b6780-605c-4127-bc63-596dbd906005_5262b65b-75a2-452b-8ee3-428245c8ab70.jpg/420x315.jpg,https://www.autoscout24.com/offers/nissan-note-1-5-dci-acenta-diesel-white-37daa5c4-d27c-a579-e053-0100007f4090
Nissan,Juke,2016,Diesel,AT,1100 Wien,8700,EUR,https://prod.pictures.autoscout24.net/listing-images/8f9ea5c4-47e3-8e62-e053-0100007fe200_4e18a101-fd9f-4597-a4eb-097a5686d9d8.jpg/420x315.jpg,https://www.autoscout24.com/offers/nissan-juke-1-5-dci-start-diesel-black-4b77a313-db31-46d4-9015-a581e510c073
Nissan,Micra,2009,Gasoline,ES,28660 BOADILLA DEL MONTE,3850,EUR,https://prod.pictures.autoscout24.net/listing-images/5465039e-eb57-409c-b439-6be2c0c992e9_25691377-f749-4a57-b503-fba5675fbc58.jpg/420x315.jpg,https://www.autoscout24.com/offers/nissan-micra-1-2-16v-lim-edition-airco-16inch-el-pakket-gasoline-violet-b57b6780-605c-4127-bc63-596dbd906005
Nissan,X-Trail,2018,Diesel,IT,00169 Roma - RM,20000,EUR,https://prod.pictures.autoscout24.net/listing-images/9b5da5c4-cdb6-4c4a-e053-0100007f267e_2ec30b96-e171-4f19-9774-b4d7b926ceeb.jpg/420x315.jpg,https://www.autoscout24.com/offers/nissan-x-trail-2-0-dci-4wd-n-connecta-diesel-blue-8f9ea5c4-47e3-8e62-e053-0100007fe200
Skoda,Fabia,2003,Diesel,ES,46190 RIBARROJA DEL TURIA,850,EUR,https://prod.pictures.autoscout24.net/listing-images/21b8a7c4-54cc-272b-e053-0100007fab4e_b906f74f-7568-460c-82d0-8bcd272bb879.jpg/420x315.jpg,https://www.autoscout24.com/offers/skoda-fabia-luna-1-9-sdi-diesel-black-21b8a7c4-54cc-272b-e053-0100007fab4e
Skoda,Rapid/Spaceback,2016,Gasoline,ES,46190 RIBARROJA DEL TURIA,10500,EUR,https://prod.pictures.autoscout24.net/listing-images/039dd12e-e2c0-4a09-9ad5-6833f9182d93_6d93e844-cab6-48b1-bcfa-43756b8ff3b4.jpg/420x315.jpg,https://www.autoscout24.com/offers/skoda-rapid-spaceback-rapid-spaceback-1-2-tsi-green-tec-joy-gasoline-blue-039dd12e-e2c0-4a09-9ad5-6833f9182d93
Skoda,Octavia,2006,Gasoline,DE,74211 Leingarten,3200,EUR,https://prod.pictures.autoscout24.net/listing-images/08e6a76d-c81c-4a89-a482-16c829db7042_0a7d3f81-50c1-4108-8504-690872726a0f.jpg/420x315.jpg,https://www.autoscout24.com/offers/skoda-octavia-2-0-fsi-ambiente-gasoline-silver-08e6a76d-c81c-4a89-a482-16c829db7042
Skoda,Roomster,2014,Diesel,NL,5981 XZ PANNINGEN,5900,EUR,https://prod.pictures.autoscout24.net/listing-images/ab0ff5e3-b962-4d80-a1a3-d42a818d9035_8ad940a1-0eaf-42f5-b1b1-a49e25e0ebc2.jpg/420x315.jpg,https://www.autoscout24.com/offers/skoda-roomster-1-6-tdi-dpf-scout-diesel-blue-ab0ff5e3-b962-4d80-a1a3-d42a818d9035
Skoda,Superb,2009,Gasoline,FR,75006 Paris,6800,EUR,https://prod.pictures.autoscout24.net/listing-images/435ca7c4-3d77-b80a-e053-0100007f16e9_1a2adc96-3cbe-4fb2-a101-84be434c44d6.jpg/420x315.jpg,https://www.autoscout24.com/offers/skoda-superb-1-8-tsi-ambition-dsg-gasoline-black-435ca7c4-3d77-b80a-e053-0100007f16e9
Skoda,Karoq,2020,Diesel,ES,29651 MIJAS COSTA,19500,EUR,https://prod.pictures.autoscout24.net/listing-images/c837976c-3830-40e3-ad97-05de96deb2d0_11f937cd-3ff1-4c2b-ac3c-256de7018ac8.jpg/420x315.jpg,https://www.autoscout24.com/offers/skoda-karoq-1-6tdi-adblue-ambition-diesel-black-c837976c-3830-40e3-ad97-05de96deb2d0
